영어,한글뜻,확인필요
step,"발걸음, 걸음; 단계",
step,"발걸음, 걸음; 단계",
tasty,맛있는,
tasty,맛있는,
photograph,사진,
photograph,사진,
moon,달,
moon,달,
plan,"계획, 계획하다",
plan,"계획, 계획하다",
agree,"동의하다, just, just; 바로, 딱; 방금, 막; 단지, 다만",
agree,"동의하다, just, just; 바로, 딱; 방금, 막; 단지, 다만",
toe,"발가락, skill, skill; 기량, 솜씨; 기술, mix, mix, 섞이다, 석다",
toe,"발가락, skill, skill; 기량, 솜씨; 기술, mix, mix, 섞이다, 석다",
wide,폭이 넓은,
wide,폭이 넓은,
area,지역; 특정 용도의 구역,
area,지역; 특정 용도의 구역,
band,음악을 연주하는 밴드; 끈띠,
band,음악을 연주하는 밴드; 끈띠,
danger,"위험, 위험성",
danger,"위험, 위험성",
nail,"손톱, 발톱; 못, 못으로 박다",
nail,"손톱, 발톱; 못, 못으로 박다",
building,건물,
building,건물,
golden,금으로 만든; 금빛의,
golden,금으로 만든; 금빛의,
remember,기억하다,
remember,기억하다,
runaway,도망가다,
runaway,도망가다,
line up,줄을 서다,
line up,줄을 서다,
