영어,한글뜻,확인필요
while,무언무엇 하는 동안; 무언무엇의 반하여,
beat,"때리다, 두드리다; 이기다",
calm,"침착한, 차분한, 진정하다, 진정시키다",
surprise,"놀라운 일, 놀라게 하다",
hang,"걸다, 걸리다, 매달다, 매달리다",
believe,"믿다, lonely, 외로운, 쓸쓸한",
lovely,"사랑스러운, 예쁜",
wonder,"궁금하다, 경탄, 놀라움",
rope,"밧줄, 로프",
poor,"따르다, 붓다; 비가 쏟아지다, 퍼붓다",
famous,"유명한, list, 명단, 목록",
project,"대규모의 계획, 프로젝트; 학교에서의 연구 과제",
carry,"나르다, 운반하다; 가지고 다니다",
sweet,"단, 달콤한",
pay,"돈을 지불하다, 내다",
drink,"마시다, 마실 것, 음료",
on time,"시간을 어기지 않고, 제 시간에",
be worried about,무엇 무엇에 대해 걱정하다,
