영어,한글뜻,확인필요
teacher,"교사, 선생",
useful,"쓸모 있는, 유용한",
clear,"분명한; 맑은, 투명한",
clear,"분명한; 맑은, 투명한",
road,"길, 도로",
road,"길, 도로",
gift,"선물; 재능, 제주",
gift,"선물; 재능, 제주",
as,무엇 무엇을 할 때; 무엇 무엇이기 때문에,
as,무엇 무엇을 할 때; 무엇 무엇이기 때문에,
future,"미래, 장례, 미래의, 장례의",
future,"미래, 장례, 미래의, 장례의",
train,"기차, 열차",
train,"기차, 열차",
want,"원하다, 바라다; 무엇 무엇을 하고 싶다",
want,"원하다, 바라다; 무엇 무엇을 하고 싶다",
dream,"꿈, 꿈을 꾸다",
dream,"꿈, 꿈을 꾸다",
water,"물, 물을 주다",
water,"물, 물을 주다",
backpack,"배낭, 배낭 여행하다",
backpack,"배낭, 배낭 여행하다",
die,"죽다, store, store, 가게, 상점",
die,"죽다, store, store, 가게, 상점",
tonight,"오늘 밤에, 오늘 밤",
tonight,"오늘 밤에, 오늘 밤",
because,"무엇 무엇 때문에, 왜냐 하면",
because,"무엇 무엇 때문에, 왜냐 하면",
balloon,"풍선, 부풀다; 잠자리에서 일어나다; 일어서다, 무엇 무엇으로 만들어지다, 무엇 무엇으로 구성되다",
balloon,"풍선, 부풀다; 잠자리에서 일어나다; 일어서다, 무엇 무엇으로 만들어지다, 무엇 무엇으로 구성되다",
