영어,한글뜻,확인필요
jog,"조깅하다, 조깅",
fight,"싸우다, 싸움",
drive,"운전하다, ride, 말, 탈 것 등을 타다, 말, 탈 것 등에 타기",
yesterday,"어제; 높이가 낮은; 양 정도가 낮은, 적은, 때리다, 치다, 말하다, 이야기하다, 부모, 어버이",
often,"흔히, 자주",
here,"여기에, 여기에서, 이곳으로",
here,"여기에, 여기에서, 이곳으로",
beauty,"아름다움, 미, 이, 미인",
beauty,"아름다움, 미, 이, 미인",
price,"값, 가격",
price,"값, 가격",
buy,"위치, 무엇 무엇 옆에; 수단, 무엇 무엇에 의해, 무엇 무엇으로",
buy,"위치, 무엇 무엇 옆에; 수단, 무엇 무엇에 의해, 무엇 무엇으로",
soft,부드러운,
soft,부드러운,
south,"남쪽, 남쪽의",
south,"남쪽, 남쪽의",
draw,연필 등으로 그리다; 마차 등을 끌다,
draw,연필 등으로 그리다; 마차 등을 끌다,
health,"건강, 건강 상태",
health,"건강, 건강 상태",
go on,어떤 상황이 계속되다,
go on,어떤 상황이 계속되다,
in the end,마침내,
in the end,마침내,
