영어,한글뜻,확인필요
raise,"들어 올리다, 올리다, 들다; 키우다, 기르다",
soon,"곧, 머지 않아",
park,"공원, 주차하다",
once,"한 번, 일회",
sunny,"화창한, 맑은",
sunny,"화창한, 맑은",
cheap,"값이 싼, 값이 싼",
cheap,"값이 싼, 값이 싼",
dentist,"치과 의사, 이 치과",
dentist,"치과 의사, 이 치과",
throw,"던지다, 던지다, 던지다",
throw,"던지다, 던지다, 던지다",
activity,즐기기 위한 활동,
activity,즐기기 위한 활동,
stop,"멈추다, 중단하다; 멈춤, 중단; 정류장",
stop,"멈추다, 중단하다; 멈춤, 중단; 정류장",
hope,"바라다, 희망하다, 바람, 희망",
hope,"바라다, 희망하다, 바람, 희망",
science,"과학, cure, cure, 치료하다, 치료, 치료법, 치료제",
science,"과학, cure, cure, 치료하다, 치료, 치료법, 치료제",
living room,"거실, 거실",
living room,"거실, 거실",
message,"메시지, 전원",
message,"메시지, 전원",
need,"필요하다; 무엇뭐 할 필요가 있다, 무엇뭐 해야 한다, 필요성, 필요",
need,"필요하다; 무엇뭐 할 필요가 있다, 무엇뭐 해야 한다, 필요성, 필요",
musician,"작곡가, 연주가 등의 음악가, rule, 규칙, 규정",
musician,"작곡가, 연주가 등의 음악가, rule, 규칙, 규정",
hold on,"기다리다, 기다리다",
hold on,"기다리다, 기다리다",
take turns,교대로 하다,
take turns,교대로 하다,
