영어,한글뜻,확인필요
manner,"방식, 방법; 태도; 예의, 예절",
straight,"똑바로, 곧장, 곧은 일직선의",
poor,"가난한, 이 불쌍한",
try,"노력하다, 이 시도하다",
garden,"정원, 뜰",
garden,"정원, 뜰",
gate,"문, 출입문; 탑승구",
gate,"문, 출입문; 탑승구",
stand,"서 있다, 서다",
stand,"서 있다, 서다",
complete,"완전한, 완벽한, 완료하다",
complete,"완전한, 완벽한, 완료하다",
clothes,"옷, 의복",
clothes,"옷, 의복",
strange,"이상한, 이 낯선",
strange,"이상한, 이 낯선",
sorry,"미안한, 이 유감스러운",
sorry,"미안한, 이 유감스러운",
circle,동그라미,
circle,동그라미,
triangle,삼각형,
triangle,삼각형,
artwork,박물관 등의 미술품,
artwork,박물관 등의 미술품,
lesson,수업; 교제의 과; 교훈,
lesson,수업; 교제의 과; 교훈,
wake,"잠에서 깨다, 일어나다",
wake,"잠에서 깨다, 일어나다",
let,"무언 무엇 하게 하다, 무언 무엇 하도록 허락하다, 무언 무엇 하자",
let,"무언 무엇 하게 하다, 무언 무엇 하도록 허락하다, 무언 무엇 하자",
turn,"돌다, 돌리다, 순서, 차례",
turn,"돌다, 돌리다, 순서, 차례",
for sure,"분명히, 확실히",
for sure,"분명히, 확실히",
show,누구에게 구경시켜주다,
around,누구에게 구경시켜주다,
