영어,한글뜻,확인필요
piece,"조각, 한 개, 한 장",
piece,"조각, 한 개, 한 장",
umbrella,"우산, paper, paper, 종이, ticket, ticket, 표, 입장권",
umbrella,"우산, paper, paper, 종이, ticket, ticket, 표, 입장권",
add,"추가하다, 참가하다; 더하다, 합하다",
add,"추가하다, 참가하다; 더하다, 합하다",
example,"예, 예시, 사례, 보기",
example,"예, 예시, 사례, 보기",
mathematics,"수학, below, below; 위치, 무엇뭐 아래에; 수량, 수준, 무엇뭐 미만으로, 아래에, 아래로",
mathematics,"수학, below, below; 위치, 무엇뭐 아래에; 수량, 수준, 무엇뭐 미만으로, 아래에, 아래로",
care,"주의, 조심; 보살핌, 상관하다, 신경쓰다",
care,"주의, 조심; 보살핌, 상관하다, 신경쓰다",
manager,"경영자, 관리인",
manager,"경영자, 관리인",
stone,"돌, get to, get to, 어디에 도착하다, 어디에 이르다",
stone,"돌, get to, get to, 어디에 도착하다, 어디에 이르다",
right away,"곧바로, 즉시",
right away,"곧바로, 즉시",
