영어,한글뜻,확인필요
score,"점수, 득점하다., 조종사, pilot., 모든 것, 모두., 무언 무엇 동안, 내내; 홍차; 차., 어려움, 문제",
score.,"점수, 득점하다., 조종사, pilot., 모든 것, 모두., 무언 무엇 동안, 내내; 홍차; 차., 어려움, 문제",
honey,"꿀, 벌꿀",
honey.,"꿀, 벌꿀",
greet,"맞이하다, 환영하다",
greet.,"맞이하다, 환영하다",
never,"결코, 무언 무엇 하지 않다., 절대, 무언 무엇 하지 않다",
never.,"결코, 무언 무엇 하지 않다., 절대, 무언 무엇 하지 않다",
usual,"평소의, 보통의",
usual.,"평소의, 보통의",
habit,"습관, 버릇",
habit.,"습관, 버릇",
friendly,"친절한, 다정한",
friendly.,"친절한, 다정한",
perfect,"결함 없이 완벽한; 목적에 꼭 알맞은, 완벽한",
perfect.,"결함 없이 완벽한; 목적에 꼭 알맞은, 완벽한",
heat,"열; 더위., 가열하다, 데우다",
heat.,"열; 더위., 가열하다, 데우다",
take place,"사건이 일어나다, 행사가 열리다",
take place.,"사건이 일어나다, 행사가 열리다",
not anymore,"더 이상, 무언 무엇 안다",
not anymore.,"더 이상, 무언 무엇 안다",
