영어,한글뜻,확인필요
proud,자랑스러워 하는 자랑스러운,
test,시험; 검사,
brain,뇌,
teenager,10대,
trick,"속임수, 속이다",
singer,가수,
someone,"어떤 사람, 누구?",
bite,"이빨로 베어 물다, 한 입, 한 입 베어 문 조각",
musical,"음악의, 음악적인",
surprising,놀라운,
tour,"여행, 여행하다, 관광하다",
shake,"흔들리다, 흔들다; 몸이 떨리다, 떨다",
shake,"흔들리다, 흔들다; 몸이 떨리다, 떨다",
ring,"반지, 소리가 울리다",
ring,"반지, 소리가 울리다",
shape,"형태, 모양",
shape,"형태, 모양",
drop,"떨어지다, 떨어뜨리다, 방울",
drop,"떨어지다, 떨어뜨리다, 방울",
sunglasses,"선글라스, 색안경",
sunglasses,"선글라스, 색안경",
film,"영화, 촬영하다, 찍다",
film,"영화, 촬영하다, 찍다",
office,사무실,
office,사무실,
give up,"포기하다, take care of, take care of, 누구를 돌보다",
give up,"포기하다, take care of, take care of, 누구를 돌보다",
