영어,한글뜻,확인필요
tongue,"혀, 이, 언어",
tongue,"혀, 이, 언어",
spread,"펴다, 펼치다, 이, 소문, 정보 등이 퍼지다",
spread,"펴다, 펼치다, 이, 소문, 정보 등이 퍼지다",
editor,편집자,
editor,편집자,
reporter,"보도기자, 리포터",
reporter,"보도기자, 리포터",
else,그 밖의 다른,
else,그 밖의 다른,
chip,"과자류의 얇은 조각, 칩; 감자튀김",
chip,"과자류의 얇은 조각, 칩; 감자튀김",
opera,오페라,
opera,오페라,
slip,"미끄러지다, 미끄러져 넘어지다",
slip,"미끄러지다, 미끄러져 넘어지다",
prepare,"준비하다, 마련하다",
prepare,"준비하다, 마련하다",
once upon a time,옛날 옛적의,
once upon a time,옛날 옛적의,
have,공통적으로 무언 무엇을 가지다,
in common,공통적으로 무언 무엇을 가지다,
