영어,한글뜻,확인필요
animation,"만화, 만화영화, 애니메이션",
cause,"원인, 무언 무엇의 원인이 되다, 일으키다",
quiz,간단한 시험; 퀴즈,
designer,디자이너; 짐을 싸다; 포장하다,
meeting,"회의, information, information, 정보, 자료",
meeting,"회의, information, information, 정보, 자료",
wise,"현명한, 지혜로운",
wise,"현명한, 지혜로운",
award,"상, 상 등을 수여하다, 상 등을 주다",
award,"상, 상 등을 수여하다, 상 등을 주다",
match,"경기, 시합, 이, 성량, 어울리다",
match,"경기, 시합, 이, 성량, 어울리다",
coin,동전,
coin,동전,
pattern,패턴,
pattern,패턴,
relax,"일, 쉬다, 이, 몸의 긴장을 풀다, 이완시키다",
relax,"일, 쉬다, 이, 몸의 긴장을 풀다, 이완시키다",
count on,"누구를 믿다, 누구를 의지하다",
count on,"누구를 믿다, 누구를 의지하다",
