영어,한글뜻,확인필요
promise,"약속하다, 약속",
character,"성격, 성질; 등장인물",
popular,인기 있는,
scene,"연극, 영화 등의 장면",
topic,"주제, 화제",
hunt,"사냥하다, 사냥",
own,"자기 자신의, 소유하다",
item,"물품, 품목; 목록의 항목, 사항",
court,"법정, 법원; 테니스 등의 경기장, 코트",
follow,"따라가다, 따라오다; 규칙, 조언 등을 따르다",
language,"언어, 말",
hiking,"하이킹, 도보 여행",
recipe,"요리법, 레시피",
simple,"간단한, 단순한; 소박한, 수수한",
simple,"간단한, 단순한; 소박한, 수수한",
interview,"면접; 인터뷰, 회견",
bore,지루하게 만들다,
bore,지루하게 만들다,
sauce,소스,
sauce,소스,
upside down,거꾸로,
upside down,거꾸로,
turn over,무엇 무엇을 뒤집다,
