영어,한글뜻,확인필요
save,위험으로부터 구하다; 돈을 저축하다,
main,"주된, 주요한",
fantastic,"환상적인, 멋진",
even,"무엇 무엇조차, 무엇 무엇까지, 무엇 무엇도",
human,"인간, 사람, 인간의, 사람의",
scared,"겁먹은, 두려워하는",
nothing,"아무것도, 무엇 무엇 아니다., 아무것도 없다",
opinion,"의견, 생각",
block,"block, 토막; 한 구획, 구역, block, 통로 등을 막다",
float,"물 위에 뜨다, 띄우다; 공중에 떠다니다",
decide,"결정하다, 결심하다",
order,"순서, 명령하다, 이 음식을 주문하다",
creative,"창의적인, 창조적인",
result,"결과, 파도, 물결, 흔들리다, 흔들다",
fair,"공정한, 공평한",
puzzle,"퍼즐, 수수께끼",
fault,"잘못, 책임",
throw away,무엇 무엇을 버리다,
live next door,옆집에 살다,
