영어,한글뜻,확인필요
kick,"차다, 거둬차다",
kick,"차다, 거둬차다",
life,"인생, 삶; 목숨, 생명",
life,"인생, 삶; 목숨, 생명",
board,"판자, 이, 게시판, 탑승하다",
board,"판자, 이, 게시판, 탑승하다",
course,"강좌, 강의; 항로, 방향",
course,"강좌, 강의; 항로, 방향",
sell,"팔다, 이, 팔리다",
sell,"팔다, 이, 팔리다",
cloudy,"흐린, 구름긴",
cloudy,"흐린, 구름긴",
painting,물감으로 그린 그림,
painting,물감으로 그린 그림,
strong,"힘센, 강한",
strong,"힘센, 강한",
fall,"떨어지다; 넘어지다, 쓰러지다, 가을, under, under; 무엇 무엇 아래에, 무엇 무엇 밑에; 무엇 무엇 미만인, 무엇 무엇 아래인",
fall,"떨어지다; 넘어지다, 쓰러지다, 가을, under, under; 무엇 무엇 아래에, 무엇 무엇 밑에; 무엇 무엇 미만인, 무엇 무엇 아래인",
brush,"붓, 솔, 빗, 솔질하다, 빗질하다, 닦다",
brush,"붓, 솔, 빗, 솔질하다, 빗질하다, 닦다",
find out,무엇 무엇을 알아내다,
find out,무엇 무엇을 알아내다,
grow up,"성장하다, 자라다",
grow up,"성장하다, 자라다",
